id,text,issuer,label,source,reviewed,collected_at,category,source_family,origin,review_method,retrieved_at,split,generator_seed,seed_fingerprint,template_key
financial-syn-0001,"[롯데카드] 카드 결제대금 782,500원 입금 처리가 완료되었습니다. 07/14 11:05",롯데카드,0,https://www.lottecard.co.kr/app/LPBNFBD_V500.lc,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,14299395154367344409,c671a821a701ef191291299601ff2e62bae738175275a819103af398ba952ada,payment_deposit_completed
financial-syn-0002,"[Web발신] KB국민카드 04** 승인거절 04/25 17:42 784,700원 보험료",KB국민카드,0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,342000425395832684,04bf07932cc0476c1a0ce30a23332f009a94670c9cb66dd0cb2a7edb77e5e7e2,approval_declined
financial-syn-0003,"[Web발신] [롯데카드] 대중교통 414,200원 매출취소가 처리되었습니다. 03/04 13:31",롯데카드,0,https://www.lottecard.co.kr/app/LPBNFBD_V500.lc,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,9063216850989117773,7dc703b4fd8a714da2f83d42ebb2cd4d39bcda08ab7193f63251704d39a84428,sale_cancelled
financial-syn-0004,"[Web발신] NH농협카드 76** 승인거절 11/07 03:50 187,700원 보험료",NH농협카드,0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,15351741364067041317,d50c576f00e300257488d5a13c7e59e6604ec3495c9523b97227312b69ecaa85,approval_declined
financial-syn-0005,"[Web발신] 롯데카드 59** 승인거절 12/10 23:43 675,200원 약국",롯데카드,0,https://www.lottecard.co.kr/app/LPBNFBD_V500.lc,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,13704839547426928295,be315ef5001b76a740f946dc1c852ea0b59ef4a4062ac9968839fcef15cc9714,approval_declined
financial-syn-0006,"[Web발신] [롯데카드] 정기결제 승인 08/03 14:22 877,400원 커피전문점",롯데카드,0,https://www.lottecard.co.kr/app/LPBNFBD_V500.lc,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,9953853486639514685,8a233102216e843df43afc7de2abd62a7bc2ed5744c29e6bfeda986837eacfcc,recurring_approval
financial-syn-0007,[Web발신] KB국민카드 해외승인 20** 02/14 20:20 US$22.16 해외가맹점,KB국민카드,0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,16583815491443843360,e6258c531c2161207ba0ff11ab2b1872c1680cb45fad83bc6652b053b1dadec9,overseas_approval
financial-syn-0008,"NH농협카드 48** 승인 01/01 02:59 494,300원 통신요금 일시불",NH농협카드,0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,18297825837548630043,fdeeefa7390cf01b84f069173af0d190e22dbca90bd434a1adc1d78823c0a761,domestic_approval
financial-syn-0009,"BC카드 온라인승인 39** 02/02 10:57 268,600원 통신요금",BC카드,0,https://www.bccard.com/app/card/ContentsLinkActn.do?pgm_id=ind1074,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,155580341343523240,0228bb7f03d091a83b8d32b4a28b8ee0f7c9b159730475a737ea7187e1c8a2be,online_approval
financial-syn-0010,"[BC카드]-승인 66** 03/17 18:43 159,700원 온라인서점 누적 2,599,600원",BC카드,0,https://www.bccard.com/app/card/ContentsLinkActn.do?pgm_id=ind1074,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,8420316745883525722,74daf977b6a9225aa28739c6f9a3badafcbc6c1d7014ae834d106acfdbed9244,approval_with_total
financial-syn-0011,"[BC카드] 동네마트 269,100원 매출취소가 처리되었습니다. 08/21 13:37",BC카드,0,https://www.bccard.com/app/card/ContentsLinkActn.do?pgm_id=ind1074,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,14910690976623782740,ceed6a7169486b540b380a2add766114f9805a91a37d789d99db49472f321edf,sale_cancelled
financial-syn-0012,"[Web발신] KB국민카드 64** 승인거절 02/28 04:13 566,400원 동네마트",KB국민카드,0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,financial_normal_synthetic_v2,rule_synthetic_from_reviewed_sms_patterns,generator_rule_and_source_review,2026-09-15,train,17523821900028332084,f3311f2c4266483445c04cacaa7d49fe7427fab301aead8dd21ce1bd1c203753,approval_declined
