service_group,brand,registered_domain,domain_owner,url_category,source_url,usage_note
택배,CJ대한통운,cjlogistics.com,CJ대한통운,official,https://www.cjlogistics.com/ko/main,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
택배,한진택배,hanjin.com,한진,official,https://www.hanjin.com/kor/Main.do,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
택배,롯데택배,lotteglogis.com,롯데글로벌로지스,official,https://www.lotteglogis.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
택배,로젠택배,ilogen.com,로젠,official,https://www.ilogen.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
택배,우체국,epost.go.kr,우정사업본부,official,https://www.epost.go.kr/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
은행,KB국민은행,kbstar.com,KB국민은행,official,https://www.kbstar.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
은행,신한은행,shinhan.com,신한은행,official,https://www.shinhan.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
은행,하나은행,kebhana.com,하나은행,official,https://www.kebhana.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
은행,우리은행,wooribank.com,우리은행,official,https://www.wooribank.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
은행,NH농협은행,nhbank.com,NH농협은행,official,https://www.nhbank.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
은행,IBK기업은행,ibk.co.kr,IBK기업은행,official,https://www.ibk.co.kr/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
은행,카카오뱅크,kakaobank.com,카카오뱅크,official,https://www.kakaobank.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
은행,토스뱅크,tossbank.com,토스뱅크,official,https://www.tossbank.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
은행,케이뱅크,kbanknow.com,케이뱅크,official,https://www.kbanknow.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
카드,삼성카드,samsungcard.com,삼성카드,official,https://www.samsungcard.com/,등록도메인(eTLD+1) 또는 공식 서비스 하위도메인 기준. 단독 whitelist 판정 금지.
