id,text,label,source,reviewed,collected_at,category,source_family,origin,review_method,retrieved_at,split
public-kb-01,[KB국민은행] 신청 계좌의 입출금 거래 알림을 받으실 수 있습니다. 안내 https://obank.kbstar.com/quics?page=C106615,0,https://obank.kbstar.com/quics?page=C106615,true,,bank_notice,kb,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-kb-02,[KB국민은행] 자동이체 처리되지 않은 내역이 있습니다. 기존 KB스타뱅킹 앱에서 거래 상태를 확인하세요.,0,https://obank.kbstar.com/quics?page=C106615,true,,bank_notice,kb,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-kb-03,[KB국민은행] 예금과 적금의 만기일 안내입니다. 등록한 상품의 기간을 기존 앱에서 확인할 수 있습니다.,0,https://obank.kbstar.com/quics?page=C106615,true,,bank_notice,kb,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-kb-04,[KB국민은행] 계좌간 자동이체 예정 안내입니다. 등록된 자동이체 정보를 알려드립니다.,0,https://obank.kbstar.com/quics?page=C106615,true,,bank_notice,kb,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-kb-05,[KB국민은행] 자동이체 종료내역 안내입니다. 등록한 이체의 상태가 종료로 변경되었습니다.,0,https://obank.kbstar.com/quics?page=C106615,true,,bank_notice,kb,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-kb-06,[KB국민은행] 대출 금리 변경내역 알림입니다. 금융 알림 상세는 KB스타뱅킹에서 조회할 수 있습니다.,0,https://obank.kbstar.com/quics?page=C106615,true,,bank_notice,kb,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-kb-07,[KB국민은행] 입출금 PUSH 알림 등록 시 해당 계좌의 기존 SMS 통지는 해지됩니다.,0,https://obank.kbstar.com/quics?page=C106615,true,,bank_notice,kb,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-kb-08,[KB국민은행] 알림 설정은 KB스타뱅킹 전체메뉴의 환경설정에서 변경할 수 있습니다. https://obank.kbstar.com/quics?page=C106615,0,https://obank.kbstar.com/quics?page=C106615,true,,bank_notice,kb,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-netflix-01,[넷플릭스] 멤버십을 해지해도 이미 결제한 기간이 남아 있으면 기간 종료까지 시청할 수 있습니다.,0,https://help.netflix.com/ko/node/407,true,,subscription,netflix,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-netflix-02,[넷플릭스] 해지 완료 안내입니다. 다시 가입하지 않는 한 다음 이용료는 청구되지 않습니다.,0,https://help.netflix.com/ko/node/407,true,,subscription,netflix,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-netflix-03,[넷플릭스] 계정 해지 확인은 등록된 이메일로 발송됩니다. https://help.netflix.com/ko/node/407,0,https://help.netflix.com/ko/node/407,true,,subscription,netflix,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-netflix-04,[넷플릭스] 결제 기간이 끝나면 해지된 계정의 이용이 종료됩니다. 재가입 전에는 추가 요금이 발생하지 않습니다.,0,https://help.netflix.com/ko/node/407,true,,subscription,netflix,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-netflix-05,[넷플릭스] 계정이 보류된 상태에서 해지하면 서비스는 즉시 종료됩니다.,0,https://help.netflix.com/ko/node/407,true,,subscription,netflix,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-netflix-06,[넷플릭스] 앱 삭제나 로그아웃만으로는 구독이 취소되지 않습니다. 멤버십 관리에서 해지 상태를 확인하세요.,0,https://help.netflix.com/ko/node/407,true,,subscription,netflix,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-netflix-07,[넷플릭스] 멤버십을 일시정지하면 다음 결제일의 청구가 생략되고 한 달 동안 이용이 정지됩니다.,0,https://help.netflix.com/ko/node/407,true,,subscription,netflix,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-netflix-08,[넷플릭스] 일시정지는 한 달 뒤 자동 해제되어 다시 결제됩니다. 영구 해지와 다르니 계정 설정을 확인하세요.,0,https://help.netflix.com/ko/node/407,true,,subscription,netflix,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-airkorea-01,[에어코리아] 미세먼지 예보알림은 카카오 알림톡으로 우선 제공됩니다. https://airkorea.or.kr/web/smsService?pMENU_NO=209,0,https://airkorea.or.kr/web/smsService?pMENU_NO=209,true,,public_alert,airkorea,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-airkorea-02,[에어코리아] 카카오톡을 사용하지 않는 경우 미세먼지 예보를 SMS 또는 MMS로 받을 수 있습니다.,0,https://airkorea.or.kr/web/smsService?pMENU_NO=209,true,,public_alert,airkorea,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-airkorea-03,[에어코리아] 예보 알림 신청과 수신 설정 변경은 공식 홈페이지의 문자서비스에서 진행할 수 있습니다.,0,https://airkorea.or.kr/web/smsService?pMENU_NO=209,true,,public_alert,airkorea,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-airkorea-04,[에어코리아] 문자인증은 예보알림 신청 및 변경 과정에서 본인 확인을 위해 사용됩니다.,0,https://airkorea.or.kr/web/smsService?pMENU_NO=209,true,,public_alert,airkorea,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
