id,message_text,url,url_category,mentioned_brand,domain_owner,semantic_match,overseas_sender,pii_request,label,data_origin,annotation_note
1,로젠택배 등기/택배 접수 및 배송 정보를 안내드립니다.,https://www.ilogen.com/notice,official,로젠택배,로젠,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
2,"[KB국민은행] 89,700원이 입금되었습니다.",https://www.kbstar.com/service,official,KB국민은행,KB국민은행,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
3,"[롯데카드] 12,900원 승인되었습니다. 가맹점: 음식점",https://www.lottecard.co.kr/customer,official,롯데카드,롯데카드,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
4,[대한민국 정책브리핑] 전자문서 안내가 도착했습니다.,https://www.korea.kr/mypage,official,대한민국 정책브리핑,대한민국 정부,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
5,[네이버쇼핑] 주문 상품이 배송 완료되었습니다.,https://www.naver.com/event,official,네이버쇼핑,NAVER,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
6,지인과 공유한 LINE 링크입니다.,https://www.line.me/guide,messenger,LINE,LY Corporation,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
7,[Google] 보안 알림입니다. 계정 설정을 확인하세요.,https://www.google.com/main,official,Google,Google,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
8,CJ대한통운 배송 예정입니다. 오늘 상품을 받아보실 수 있습니다.,https://www.cjlogistics.com/notice,official,CJ대한통운,CJ대한통운,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
9,[하나은행] 금융거래 알림입니다. 자세한 내역은 공식 앱에서 확인하세요.,https://www.kebhana.com/service,official,하나은행,하나은행,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
10,"[삼성카드] 정기결제 승인 알림입니다. 35,000원",,unknown,삼성카드,unknown,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
11,[경찰청] 신청하신 민원의 처리 상태를 확인하세요.,https://www.police.go.kr/mypage,official,경찰청,경찰청,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
12,[G마켓] 주문 상품이 배송 완료되었습니다.,https://www.gmarket.co.kr/event,official,G마켓,G마켓,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
13,지인과 공유한 카카오 링크입니다.,https://www.kakao.com/guide,official,카카오,Kakao,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
14,[Microsoft] 보안 알림입니다. 계정 설정을 확인하세요.,https://www.microsoft.com/main,official,Microsoft,Microsoft,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
15,한진택배 배송 예정입니다. 오늘 상품을 받아보실 수 있습니다.,https://www.hanjin.com/notice,official,한진택배,한진,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
16,"[하나은행] 6,100원이 출금되었습니다.",,unknown,하나은행,unknown,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
17,"[하나카드] 정기결제 승인 알림입니다. 89,700원",https://www.hanacard.co.kr/customer,official,하나카드,하나카드,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
18,[홈택스] 신청하신 민원의 처리 상태를 확인하세요.,https://www.hometax.go.kr/mypage,official,홈택스,국세청,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
19,[쿠팡] 주문 상품이 배송 완료되었습니다.,https://www.coupang.com/event,official,쿠팡,쿠팡,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
20,지인과 공유한 LINE 링크입니다.,https://www.line.me/guide,messenger,LINE,LY Corporation,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
21,[NAVER] 새로운 환경에서 로그인되었습니다.,https://www.naver.com/main,official,NAVER,NAVER,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
22,CJ대한통운 상품 배송이 시작되었습니다. 배송 현황을 확인하세요.,https://www.cjlogistics.com/notice,official,CJ대한통운,CJ대한통운,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
23,[IBK기업은행] 계좌 이용내역 안내입니다.,https://www.ibk.co.kr/service,official,IBK기업은행,IBK기업은행,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
24,"[삼성카드] 50,000원 승인 취소되었습니다.",https://www.samsungcard.com/customer,official,삼성카드,삼성카드,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
25,[국세청] 공식 홈페이지에서 처리 결과를 확인할 수 있습니다.,https://www.nts.go.kr/mypage,official,국세청,국세청,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
26,[롯데ON] 결제/주문 내역을 확인하세요.,https://www.lotteon.com/event,official,롯데ON,롯데쇼핑,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
27,카카오 오픈채팅 채널/대화방 안내입니다.,https://www.open.kakao.com/guide,messenger,카카오 오픈채팅,Kakao,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
28,[Microsoft] 새로운 환경에서 로그인되었습니다.,https://www.microsoft.com/main,official,Microsoft,Microsoft,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
29,롯데택배 고객님의 상품이 배송 완료되었습니다.,https://www.lotteglogis.com/notice,official,롯데택배,롯데글로벌로지스,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
30,[우리은행] 계좌 이용내역 안내입니다.,https://www.wooribank.com/service,official,우리은행,우리은행,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
31,[KB국민카드] 카드 이용내역을 안내드립니다.,,unknown,KB국민카드,unknown,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
32,[경찰청] 공식 홈페이지에서 처리 결과를 확인할 수 있습니다.,https://www.police.go.kr/mypage,official,경찰청,경찰청,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
33,[컬리] 주문 상품이 배송 완료되었습니다.,https://www.kurly.com/event,official,컬리,컬리,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
34,카카오 오픈채팅 채널/대화방 안내입니다.,https://www.open.kakao.com/guide,messenger,카카오 오픈채팅,Kakao,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
35,[NAVER] 새로운 환경에서 로그인되었습니다.,https://www.naver.com/main,official,NAVER,NAVER,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
36,롯데택배 상품 배송이 시작되었습니다. 배송 현황을 확인하세요.,https://www.lotteglogis.com/notice,official,롯데택배,롯데글로벌로지스,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
37,"[토스뱅크] 35,000원이 출금되었습니다.",,unknown,토스뱅크,unknown,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
38,"[우리카드] 정기결제 승인 알림입니다. 89,700원",https://www.wooricard.com/customer,official,우리카드,우리카드,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
39,[경찰청] 전자문서 안내가 도착했습니다.,https://www.police.go.kr/mypage,official,경찰청,경찰청,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
40,[컬리] 주문이 정상적으로 완료되었습니다.,https://www.kurly.com/event,official,컬리,컬리,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
41,LINE 초대 링크입니다. 대화방에서 확인해주세요.,https://www.line.me/guide,messenger,LINE,LY Corporation,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
42,[NAVER] 새로운 환경에서 로그인되었습니다.,https://www.naver.com/main,official,NAVER,NAVER,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
43,롯데택배 배송 예정입니다. 오늘 상품을 받아보실 수 있습니다.,https://www.lotteglogis.com/notice,official,롯데택배,롯데글로벌로지스,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
44,[신한은행] 계좌 이용내역 안내입니다.,https://www.shinhan.com/service,official,신한은행,신한은행,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
45,"[신한카드] 89,700원 승인 취소되었습니다.",https://www.shinhancard.com/customer,official,신한카드,신한카드,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
46,[대한민국 정책브리핑] 신청하신 민원의 처리 상태를 확인하세요.,https://www.korea.kr/mypage,official,대한민국 정책브리핑,대한민국 정부,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
47,[컬리] 주문이 정상적으로 완료되었습니다.,https://www.kurly.com/event,official,컬리,컬리,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
48,지인과 공유한 카카오 링크입니다.,https://www.kakao.com/guide,official,카카오,Kakao,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
49,[Microsoft] 비밀번호가 변경되었습니다.,https://www.microsoft.com/main,official,Microsoft,Microsoft,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
50,로젠택배 등기/택배 접수 및 배송 정보를 안내드립니다.,https://www.ilogen.com/notice,official,로젠택배,로젠,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
51,"[우리은행] 12,900원이 출금되었습니다.",https://www.wooribank.com/service,official,우리은행,우리은행,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
52,"[BC카드] 125,000원 승인 취소되었습니다.",,unknown,BC카드,unknown,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
53,[병무청] 신청하신 민원의 처리 상태를 확인하세요.,https://www.mma.go.kr/mypage,official,병무청,병무청,True,False,False,NORMAL,synthetic,정상 공식 서비스/알림 패턴. 공식 도메인 자체만으로 안전 판정하지 않음.
