id,incident_id,source_case_type,theme,text,label,source,data_origin,review_reason
inc-MOB-BEN-005:sms-1,inc-MOB-BEN-005,benign,모바일 금융앱 업데이트 사칭,"고객님, 사용 중이신 금융 서비스의 보안 정책이 강화되었습니다. 원활한 서비스 이용을 위해 최신 버전(v4.2.1)으로 업데이트 바랍니다. 미 업데이트 시 계정 보호를 위해 서비스 이용이 일시 중단될 수 있습니다. 확인: https://update.financial-service.example/app",,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-006:sms-1,inc-MOB-BEN-006,benign,정부지원금/환급금 사칭,[정부24] 미수령 환급금 안내. 귀하의 미수령 환급금이 발생하였습니다. 기한 내 미신청 시 소멸되오니 확인 후 신청바랍니다. https://gov-portal.official.example,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-007:sms-1,inc-MOB-BEN-007,benign,가족/지인 사칭 긴급 송금,엄마 나 휴대폰 액정이 깨져서 수리 맡겼어. 지금 급하게 송금할 곳이 있는데 인증이 안 돼서 그래. 확인하면 이 번호로 답장 좀 해줘.,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-009:sms-1,inc-MOB-BEN-009,benign_lookalike,채용/면접 결과 사칭,[XX그룹] 하반기 공채 면접 결과 안내입니다. 귀하의 합격 여부를 아래 링크에서 확인하십시오. 금일 18시까지 서류 미제출 시 합격이 취소될 수 있습니다. 확인: http://recruit-verify.check-result.example/login,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-010:sms-1,inc-MOB-BEN-010,benign_lookalike,통신사 요금/데이터 사칭,"[알림] 고객님, 금월 데이터 사용량이 기본 제공량을 초과하여 추가 과금이 발생할 예정입니다. 요금폭탄 방지를 위해 아래 링크에서 요금제 변경을 확인하세요. https://telecom-support.bill-check.example/view",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-015:sms-1,inc-MOB-BEN-015,benign,정부지원금/환급금 사칭,"[정부24] 고객님, 미수령 정부지원환급금 482,000원이 확인되었습니다. 금일 18시 소멸 예정이오니 기한 내 신청하시기 바랍니다. 조회: https://portal-gov.info-service.example",,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-016:sms-1,inc-MOB-BEN-016,benign,계정 보안 경고 사칭,[계정안내] 고객님의 계정에 새로운 기기(Windows/인천)에서 로그인이 시도되었습니다. 본인이 아닐 경우 즉시 확인해 주십시오. https://security-alert.portal.example,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-017:sms-1,inc-MOB-BEN-017,benign,계정 보안 경고 사칭,[보안알림] 고객님의 계정에 새로운 기기(iPhone 15)에서 로그인이 감지되었습니다. 본인 활동이 아니라면 아래 고객센터에서 확인 후 차단해 주십시오. https://account.security-center.example,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-019:sms-1,inc-MOB-BEN-019,benign_lookalike,채용/면접 결과 사칭,[채용안내] 지원하신 포지션의 최종 면접 결과 및 서류 등록 안내입니다. 당일 18시까지 미등록 시 합격이 취소될 수 있습니다. 확인: https://recruit-v2.hr-process.example/check,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-025:sms-1,inc-MOB-BEN-025,benign,인증서 갱신/만료 사칭,[금융안내] 고객님의 공동인증서 만료가 3일 남았습니다. 만료 시 모든 금융거래가 제한되오니 아래 공식 홈페이지에서 갱신하시기 바랍니다. https://bank-portal.example/cert,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
